iter	Logloss
0	0.5592839363
1	0.4493101873
2	0.3616239082
3	0.2938480927
4	0.2420258376
5	0.1994898957
6	0.1632388119
7	0.1363702331
8	0.1142878635
9	0.09712589389
10	0.08369168881
11	0.07333601943
12	0.06527161147
13	0.05840003914
14	0.05288106387
15	0.04831920651
16	0.04432966166
17	0.04123755474
18	0.03863847806
19	0.03626423686
20	0.03426676323
21	0.03261288533
22	0.03124319735
23	0.02984353045
24	0.02879344284
25	0.02790237878
26	0.02705379834
27	0.02620093223
28	0.02559462464
29	0.02500508063
30	0.02451797714
31	0.02411098738
32	0.02380583049
33	0.02341068903
34	0.02309669883
35	0.02284122939
36	0.0225790047
37	0.02221443008
38	0.02206658671
39	0.02181142948
40	0.02167712133
41	0.02142050429
42	0.02128704242
43	0.0210035344
44	0.02084804481
45	0.02064806093
46	0.02054348904
47	0.02041991539
48	0.02025924399
49	0.02016657581
50	0.01989841086
51	0.01973611897
52	0.01966886147
53	0.01955180664
54	0.01942963028
55	0.01931577536
56	0.01913572748
57	0.01898648681
58	0.01889843307
59	0.01880433256
60	0.01872517275
61	0.01866628547
62	0.01858964995
63	0.01854585897
64	0.01844292215
65	0.01839716968
66	0.01831810207
67	0.01824880519
68	0.01820329419
69	0.01816219051
70	0.01812248915
71	0.01802670742
72	0.01798446831
73	0.01785360422
74	0.0178192366
75	0.01776753066
76	0.01774881296
77	0.01769786267
78	0.01760107667
79	0.01758383307
80	0.01754833326
81	0.01752686718
82	0.0174409345
83	0.017406462
84	0.01731331002
85	0.01727564443
86	0.01721474148
87	0.01717072213
88	0.01710540699
89	0.01709145029
90	0.01705437248
91	0.01703157941
92	0.01700578242
93	0.01688916262
94	0.01685760354
95	0.01677470044
96	0.0167616965
97	0.01673791222
98	0.01671106168
99	0.01668142207
100	0.01666025949
101	0.01663057844
102	0.01660901862
103	0.01653394532
104	0.01651821459
105	0.0164455278
106	0.01643009238
107	0.01637142352
108	0.01634849006
109	0.01630932571
110	0.0162874469
111	0.01626873537
112	0.01624750152
113	0.01623692469
114	0.01620698404
115	0.01618922925
116	0.01617667042
117	0.01615730007
118	0.016138959
119	0.01612074892
120	0.01609370486
121	0.01607663124
122	0.01606703258
123	0.01604387008
124	0.01602033304
125	0.01600632299
126	0.01593889606
127	0.01591511359
128	0.01590071256
129	0.01582456458
130	0.01580720241
131	0.01578521399
132	0.0157294697
133	0.01571674391
134	0.01564217466
135	0.01561750161
136	0.01559004751
137	0.01555140547
138	0.01554188419
139	0.01553285517
140	0.01552737017
141	0.01549070457
142	0.015477968
143	0.01545646719
144	0.01544726444
145	0.01544302096
146	0.01541786167
147	0.01540792652
148	0.01538231341
149	0.01536324858
150	0.01532547952
151	0.01531322946
152	0.01530651069
153	0.0152865066
154	0.01527177757
155	0.01524929553
156	0.01522929067
157	0.0152086131
158	0.01519805174
159	0.01514443499
160	0.01512902083
161	0.01510893661
162	0.01504898668
163	0.01504045157
164	0.01503361148
165	0.01502681883
166	0.01501481654
167	0.01499669194
168	0.01495320472
169	0.01490460119
170	0.01489789054
171	0.01489033334
172	0.01482767045
173	0.01477521609
174	0.01475567529
175	0.01474400889
176	0.01468092914
177	0.01467657771
178	0.01461126658
179	0.01460834903
180	0.01459813536
181	0.01458105408
182	0.01456975194
183	0.01456099758
184	0.01455629361
185	0.01453537329
186	0.01452360911
187	0.01447973007
188	0.01446772726
189	0.01445474224
190	0.01440793606
191	0.01439847667
192	0.01438922569
193	0.01438286435
194	0.01433213502
195	0.01432160988
196	0.01430125711
197	0.01429055708
198	0.01423814327
199	0.01423437601
200	0.01422112131
201	0.01421122002
202	0.01417797826
203	0.01416745865
204	0.01416102789
205	0.01415121522
206	0.01414259284
207	0.01410994731
208	0.01410402369
209	0.01409393536
210	0.01406034822
211	0.01404762288
212	0.01403891794
213	0.01402430557
214	0.01400284578
215	0.01399429225
216	0.01398651442
217	0.01396068321
218	0.01394084812
219	0.01393215236
220	0.01389658026
221	0.01388699036
222	0.0138785165
223	0.01387242678
224	0.01386532413
225	0.01385900917
226	0.01385198713
227	0.01384029602
228	0.01382817043
229	0.01379447301
230	0.01378647463
231	0.01373021859
232	0.01372141243
233	0.01371969302
234	0.01365553014
235	0.01364546232
236	0.0136430617
237	0.0136331004
238	0.01362518028
239	0.01361248376
240	0.01358758184
241	0.01357694247
242	0.01356772267
243	0.01353042712
244	0.01350452594
245	0.01349218301
246	0.01346762256
247	0.01343765497
248	0.01342911407
249	0.01342280418
250	0.01341596382
251	0.01338428018
252	0.01334583715
253	0.01330007661
254	0.01326545704
255	0.01325985654
256	0.01323488891
257	0.01322817271
258	0.01321783073
259	0.01320261902
260	0.01319724021
261	0.0131841003
